Region,Zone,Woreda
Amhara,Awi,Ankesha
Amhara,Awi,Ayehu Guagusa
Amhara,Awi,Banja
Amhara,Awi,Chagni Town
Amhara,Awi,Dangila Town
Amhara,Awi,Dangila Zuria
Amhara,Awi,Fagita Lekoma
Amhara,Awi,Guagusa shikudad
Amhara,Awi,Guangua
Amhara,Awi,Injibara Town
Amhara,Awi,Jawi
Amhara,Awi,Zigem
Amhara,Bahir dar Town,Bahirdar
Amhara,Central Gondor,Alefa
Amhara,Central Gondor,Central Armachiho
Amhara,Central Gondor,Chilga-01
Amhara,Central Gondor,Chilga-02
Amhara,Central Gondor,East belesa
Amhara,Central Gondor,East Dembia
Amhara,Central Gondor,G/Zurai
Amhara,Central Gondor,kinfaz
Amhara,Central Gondor,Lay Armachiho
Amhara,Central Gondor,Tach Armachiho
Amhara,Central Gondor,Takusa
Amhara,Central Gondor,Tegedie
Amhara,Central Gondor,West belesa
Amhara,Central Gondor,West Dembia
Amhara,Central Gondor,Wogera
Amhara,Debere Birhan town,Debere Birhan town
Amhara,Debre Markos Town,Debre Markos
Amhara,Debre Tabor town,Debre Tabor town
Amhara,Dessie Town,Dessie
Amhara,East Gojam,Aneded
Amhara,East Gojam,Awabel
Amhara,East Gojam,Basoliben
Amhara,East Gojam,Bibugn
Amhara,East Gojam,Debaytilayit Gin
Amhara,East Gojam,Debre Elias
Amhara,East Gojam,Dejen
Amhara,East Gojam,Enarj Enawuga
Amhara,East Gojam,Enemay
Amhara,East Gojam,Enesiesarmidir
Amhara,East Gojam,Goncha
Amhara,East Gojam,Gozamn
Amhara,East Gojam,Hulteeju enesie
Amhara,East Gojam,Machakel
Amhara,East Gojam,Motta
Amhara,East Gojam,Sedie
Amhara,East Gojam,Shebel
Amhara,East Gojam,Sinan
Amhara,Gondar Town,Gondar Town
Amhara,Kombolcha Town,Kombolcha
Amhara,North Gojjam,Bahir Dar Zuria
Amhara,North Gojjam,Debub Achefer
Amhara,North Gojjam,Debub Mecha
Amhara,North Gojjam,Gonji Kollela
Amhara,North Gojjam,Semen Achefer
Amhara,North Gojjam,Semen Mecha
Amhara,North Gojjam,Yilmana Densa
Amhara,North Gondor,Adiarkay
Amhara,North Gondor,Beyeda
Amhara,North Gondor,Dabat
Amhara,North Gondor,Debark Town
Amhara,North Gondor,Debark Zuria
Amhara,North Gondar,East Telemt
Amhara,North Gondor,Janamora
Amhara,North Gondar,Maytebri
Amhara,North Gondor,Telemt
Amhara,North Gondar,West telemt
Amhara,North Shoa,Angolela
Amhara,North Shoa,Ankober
Amhara,North Shoa,Antsokia
Amhara,North Shoa,Asagirete
Amhara,North Shoa,Baso
Amhara,North Shoa,Berhete
Amhara,North Shoa,Eferata
Amhara,North Shoa,Ensaro
Amhara,North Shoa,Gishe
Amhara,North Shoa,H/Mariam
Amhara,North Shoa,Kewote
Amhara,North Shoa,Menze Gera
Amhara,North Shoa,Menze Keya
Amhara,North Shoa,Menze Lalo
Amhara,North Shoa,Menze Mama
Amhara,North Shoa,Merhabete
Amhara,North Shoa,Mida
Amhara,North Shoa,Minjar
Amhara,North Shoa,Moja
Amhara,North Shoa,Morete
Amhara,North Shoa,Shewarobit
Amhara,North Shoa,Siadbere
Amhara,North Shoa,Tarmaber
Amhara,North Wollo,Alamata Town
Amhara,North Wollo,Angot
Amhara,North Wollo,Bugna
Amhara,North Wollo,Dawunt
Amhara,North Wollo,gazo
Amhara,North Wollo,Gidan
Amhara,North Wollo,Gubalafto
Amhara,North Wollo,Habru
Amhara,North Wollo,Kobo Town
Amhara,North Wollo,Lalibela Town
Amhara,North Wollo,Lasta
Amhara,North Wollo,Meket
Amhara,North Wollo,Raya Alamata
Amhara,North Wollo,Raya Bala
Amhara,North Wollo,Raya Kobo
Amhara,North Wollo,Wadla
Amhara,Oromia special Zone,Artuma Fursi
Amhara,Oromia special Zone,Bati Woreda
Amhara,Oromia special Zone,Bati Town
Amhara,Oromia special Zone,Dewa chefa
Amhara,Oromia special Zone,Dewe Harewa
Amhara,Oromia special Zone,Jile Timuga
Amhara,Oromia special Zone,Kemisse town
Amhara,South Gondor,Andabet
Amhara,South Gondor,Dera
Amhara,South Gondor,Ebinat
Amhara,South Gondor,Estie
Amhara,South Gondor,Farta
Amhara,South Gondor,Fogera
Amhara,South Gondor,Guna begemidr
Amhara,South Gondor,Lay Gayint
Amhara,South Gondor,Libo kemkem
Amhara,South Gondor,Meketewa
Amhara,South Gondor,Sedie mujja
Amhara,South Gondor,Simada
Amhara,South Gondor,T/gaynet
Amhara,South Gondor,Woreta
Amhara,South Wollo,Albuko
Amhara,South Wollo,Ambassel
Amhara,South Wollo,Argoba
Amhara,South Wollo,Borena
Amhara,South Wollo,Delanta
Amhara,South Wollo,Dessiezuria
Amhara,South Wollo,Jamma
Amhara,South Wollo,Kallu
Amhara,South Wollo,Kelala
Amhara,South Wollo,Kutaber
Amhara,South Wollo,Legambo
Amhara,South Wollo,Legehida
Amhara,South Wollo,Mehalsayint
Amhara,South Wollo,Mekdela
Amhara,South Wollo,Sayint
Amhara,South Wollo,Tehuledere
Amhara,South Wollo,Tenta
Amhara,South Wollo,Wogedi
Amhara,South Wollo,Worebabo
Amhara,South Wollo,Woreilu
Amhara,Wag himra,Abrigelie
Amhara,Wag himra,Dehana
Amhara,Wag himra,Gazgibla
Amhara,Wag himra,Korem
Amhara,Wag himra,Ofla
Amhara,Wag himra,Sehala
Amhara,Wag himra,Sekota Town
Amhara,Wag himra,Sekota Zuriya
Amhara,Wag himra,Tsagbijie
Amhara,Wag himra,Zata
Amhara,Wag himra,Ziquala
Amhara,West Gojjam,Bure Town
Amhara,West Gojjam,Bure Zuria
Amhara,West Gojjam,Dega Damot
Amhara,West Gojjam,Dembecha
Amhara,West Gojjam,Finot Selam
Amhara,West Gojjam,Jabi Tehinan
Amhara,West Gojjam,Quarit
Amhara,West Gojjam,Sekela
Amhara,West Gojjam,Womberma
Amhara,West Gondor,Adagnager
Amhara,West Gondor,Gendawuha
Amhara,West Gondor,Metema
Amhara,West Gondor,Quara
Amhara,West Gondor,West arimachiho
Amhara,Woldya town,Woldya
Amhara,Wolkayit,Awura
Amhara,Wolkayit,Dansha
Amhara,Wolkayit,Kafita
Amhara,Wolkayit,Setit
Amhara,Wolkayit,Tegedie
Amhara,Wolkayit,Wolkayit
Benishangul-Gumuz,Assosa,Abrahamo
Benishangul-Gumuz,Assosa,Asossa Twon
Benishangul-Gumuz,Assosa,Bambasi
Benishangul-Gumuz,Assosa,Homosha
Benishangul-Gumuz,Assosa,Kurmuk
Benishangul-Gumuz,Assosa,Menge
Benishangul-Gumuz,Assosa,Oda Buldiglu
Benishangul-Gumuz,Assosa,Ondulu
Benishangul-Gumuz,Assosa,Oura Woreda
Benishangul-Gumuz,Assosa,Sherkole
Benishangul-Gumuz,Kamash,Dambe
Benishangul-Gumuz,Kamash,Kamashi
Benishangul-Gumuz,Kamash,Kamashi Town
Benishangul-Gumuz,Kamash,Mizhiga
Benishangul-Gumuz,Kamash,Sedal
Benishangul-Gumuz,Kamash,Zay
Benishangul-Gumuz,Mao Komo,Mao Komo
Benishangul-Gumuz,Metekel,Bullen
Benishangul-Gumuz,Metekel,Dangur
Benishangul-Gumuz,Metekel,Dibati
Benishangul-Gumuz,Metekel,Gelgel Beles Twon
Benishangul-Gumuz,Metekel,Guba
Benishangul-Gumuz,Metekel,Mandura
Benishangul-Gumuz,Metekel,Pawi
Benishangul-Gumuz,Metekel,Wonbera
Central Ethiopia,East Gurage,Buee
Central Ethiopia,East Gurage,Butajera Twon
Central Ethiopia,East Gurage,Enseno Town
Central Ethiopia,East Gurage,East Meskan
Central Ethiopia,East Gurage,Meskan
Central Ethiopia,East Gurage,Sodo
Central Ethiopia,East Gurage,South Sodo
Central Ethiopia,Gurage,Cheha
Central Ethiopia,Gurage,Abeshege
Central Ethiopia,Gurage,Emdibir
Central Ethiopia,Gurage,Enidguagn
Central Ethiopia,Gurage,Enorenermeger
Central Ethiopia,Gurage,Arekit Town
Central Ethiopia,Gurage,Agena Town
Central Ethiopia,Gurage,Enor
Central Ethiopia,Gurage,Ezha
Central Ethiopia,Gurage,Gedebano Gutazer Welene
Central Ethiopia,Gurage,Geta
Central Ethiopia,Gurage,Gumer
Central Ethiopia,Gurage,Gunchire Town
Central Ethiopia,Gurage,Muhurna Aklil
Central Ethiopia,Gurage,Wolkite Town
Central Ethiopia,Kebena Special Woreda,Kebena Special Woreda
Central Ethiopia,Mareko Special Woreda,Mareko Special Woreda
Central Ethiopia,Hadiya,Ameka
Central Ethiopia,Hadiya,Annalemo
Central Ethiopia,Hadiya,Bonosha
Central Ethiopia,Hadiya,Duna
Central Ethiopia,Hadiya,East Badewacho
Central Ethiopia,Hadiya,Fonko Town
Central Ethiopia,Hadiya,Gibe
Central Ethiopia,Hadiya,Gimbichu
Central Ethiopia,Hadiya,Gombora
Central Ethiopia,Hadiya,Homocho Town
Central Ethiopia,Hadiya,Hossana Town
Central Ethiopia,Hadiya,Jajura Town
Central Ethiopia,Hadiya,Lemo
Central Ethiopia,Hadiya,Mirab Soro
Central Ethiopia,Hadiya,Misha
Central Ethiopia,Hadiya,Shashogo
Central Ethiopia,Hadiya,Shone Town
Central Ethiopia,Hadiya,Siraro Badewacho
Central Ethiopia,Hadiya,Soro
Central Ethiopia,Hadiya,West Badewacho
Central Ethiopia,Halaba,Atoti Ullo
Central Ethiopia,Halaba,Halaba Kulito Town
Central Ethiopia,Halaba,Werra
Central Ethiopia,Halaba,Werra Dijjo
Central Ethiopia,Kembata,Adilo Zuriya
Central Ethiopia,Kembata,Angacha Town
Central Ethiopia,Kembata,Angacha Woreda
Central Ethiopia,Kembata,Damboya Town
Central Ethiopia,Kembata,Damboya Woreda
Central Ethiopia,Kembata,Doyogena Town
Central Ethiopia,Kembata,Doyogena Woreda
Central Ethiopia,Kembata,Durame Town
Central Ethiopia,Kembata,Hadar Tunto Zuria
Central Ethiopia,Kembata,Hadaro Town
Central Ethiopia,Kembata,Kacha Birra
Central Ethiopia,Kembata,Kedida Gamela
Central Ethiopia,Kembata,Shinishicho Town
Central Ethiopia,Tembaro Special Woreda,Mudula Town
Central Ethiopia,Tembaro Special Woreda,Tembaro
Central Ethiopia,Silte,Alemgebeya Town
Central Ethiopia,Silte,Alicho Wiriro
Central Ethiopia,Silte,Dalocha
Central Ethiopia,Silte,Dalocha Town
Central Ethiopia,Silte,East Azernet Berbere
Central Ethiopia,Silte,East Silti
Central Ethiopia,Silte,Hulbareg
Central Ethiopia,Silte,Kibet Town
Central Ethiopia,Silte,Lanfuro
Central Ethiopia,Silte,Mito
Central Ethiopia,Silte,Sankura
Central Ethiopia,Silte,Silti
Central Ethiopia,Silte,Tora Town
Central Ethiopia,Silte,West azernet
Central Ethiopia,Silte,Worabe
Central Ethiopia,Yem,Fofa
Central Ethiopia,Yem,Toba
Central Ethiopia,Yem,Deri Saja Zuriya
Central Ethiopia,Yem,Saja Town
Dire Dawa,Dire Dawa,Adis Ketema Operational Woreda
Dire Dawa,Dire Dawa,Biyoawale Operational Woreda
Dire Dawa,Dire Dawa,Dire Dawa Operational Woreda
Dire Dawa,Dire Dawa,Gende Kore Operational Woreda
Dire Dawa,Dire Dawa,Goro Operational Woreda
Dire Dawa,Dire Dawa,Jeldessa Operational Woreda
Dire Dawa,Dire Dawa,Legehare Operational Woreda
Dire Dawa,Dire Dawa,Melkajebdu Operational Woreda
Dire Dawa,Dire Dawa,Wahil Operational Woreda
Gambella,Anywaa,Abobo
Gambella,Anywaa,Dimma
Gambella,Anywaa,Gambella Woreda
Gambella,Anywaa,Gog
Gambella,Anywaa,Jor
Gambella,Anywaa,Jewi RC
Gambella,Anywaa,Pugnido 1 RC
Gambella,Anywaa,Pugnido 2 RC
Gambella,Anywaa,Okugo RC
Gambella,Gambella Town Admin.,Gambella Town Admin.
Gambella,Itang Special Woreda,Itang Special Woreda
Gambella,Majang,Godere
Gambella,Majang,Mengeshi
Gambella,Nuer,Akobo
Gambella,Nuer,Jikawo
Gambella,Nuer,Lare
Gambella,Nuer,Makuey
Gambella,Nuer,Wanthoa
Gambella,Itang Special Woreda,Kule RC
Gambella,Itang Special Woreda,Ngugnyiel RC
Gambella,Itang Special Woreda,Terkidy RC
Harari,Harari,Abadir
Harari,Harari,Aboker
Harari,Harari,Amirnur
Harari,Harari,Direteyara
Harari,Harari,Erer
Harari,Harari,Hakim
Harari,Harari,Jenela
Harari,Harari,Shenkor
Harari,Harari,Sofi
Oromia,Arsi ZHD,Amigna WorHO
Oromia,Arsi ZHD,Aseko WorHO
Oromia,Arsi ZHD,Bale Gasgar WorHO
Oromia,Arsi ZHD,Bokeji Town WorHO
Oromia,Arsi ZHD,Chole WorHO
Oromia,Arsi ZHD,Deksis WorHO
Oromia,Arsi ZHD,Dera Town WorHO
Oromia,Arsi ZHD,Digeluna Tijo WorHO
Oromia,Arsi ZHD,Dodota WorHO
Oromia,Arsi ZHD,Enkelo Wabe WorHO
Oromia,Arsi ZHD,Gololcha WorHO
Oromia,Arsi ZHD,Guna WorHO
Oromia,Arsi ZHD,Hitosa WorHO
Oromia,Arsi ZHD,Huruta Town WorHO
Oromia,Arsi ZHD,Jeju WorHO
Oromia,Arsi ZHD,Limuna Bilbilo WorHO
Oromia,Arsi ZHD,Lode Hetosa WorHO
Oromia,Arsi ZHD,Merti WorHO
Oromia,Arsi ZHD,Munesa WorHO
Oromia,Arsi ZHD,Robe WorHO
Oromia,Arsi ZHD,Seru WorHO
Oromia,Arsi ZHD,Shanan Kolu WorHO
Oromia,Arsi ZHD,Shirka WorHO
Oromia,Arsi ZHD,Sire WorHO
Oromia,Arsi ZHD,Sude WorHO
Oromia,Arsi ZHD,Tena WorHO
Oromia,Arsi ZHD,Tiyo WorHO
Oromia,Arsi ZHD,Ziway Dugda WorHO
Oromia,Bale ZHD,Agarfa WorHO
Oromia,Bale ZHD,Berbere WorHO
Oromia,Bale ZHD,Dello menna WorHO
Oromia,Bale ZHD,Dinsho WorHO
Oromia,Bale ZHD,Gasera WorHO
Oromia,Bale ZHD,Goba WorHO
Oromia,Bale ZHD,Goro WorHO
Oromia,Bale ZHD,Guradhamole WorHO
Oromia,Bale ZHD,Harena Bulluk WorHO
Oromia,Bale ZHD,Sinana WorHO
Oromia,Borena ZHD,Dilo WorHO
Oromia,Borena ZHD,Dire WorHO
Oromia,Borena ZHD,Dubluki WorHO
Oromia,Borena ZHD,Elwaye WorHO
Oromia,Borena ZHD,Gomole WorHO
Oromia,Borena ZHD,Guchi WorHO
Oromia,Borena ZHD,Miyo WorHO
Oromia,Borena ZHD,Moyale WorHO
Oromia,Borena ZHD,Taltale WorHO
Oromia,Borena ZHD,Yabelo Town WorHO
Oromia,Borena ZHD,Yabelo WorHO
Oromia,Buno Bedele ZHD,Bedele Town WorHO
Oromia,Buno Bedele ZHD,Bedele WorHO
Oromia,Buno Bedele ZHD,Borecha WorHO
Oromia,Buno Bedele ZHD,Chewaka WorHO
Oromia,Buno Bedele ZHD,Chora WorHO
Oromia,Buno Bedele ZHD,Dabo Hana WorHO
Oromia,Buno Bedele ZHD,Dedesa WorHO
Oromia,Buno Bedele ZHD,Dega WorHO
Oromia,Buno Bedele ZHD,Gechi WorHO
Oromia,Buno Bedele ZHD,Meko WorHO
Oromia,East Bale ZHD,Dawe kachen WorHO
Oromia,East Bale ZHD,Dawe Serer WorHO
Oromia,East Bale ZHD,Ginnir Town WorHO
Oromia,East Bale ZHD,Ginnir WorHO
Oromia,East Bale ZHD,Gololcha WorHO
Oromia,East Bale ZHD,Laga Hidha WorHO
Oromia,East Bale ZHD,Rayitu WorHO
Oromia,East Bale ZHD,Sewena WorHO
Oromia,East Borena ZHD,Arero WorHO
Oromia,East Borena ZHD,Das WorHO
Oromia,East Borena ZHD,Goro Dola WorHO
Oromia,East Borena ZHD,Gumi Eldalo WorHO
Oromia,East Borena ZHD,Liben WorHO
Oromia,East Borena ZHD,Medawelabu WorHO
Oromia,East Borena ZHD,Negele Borena Town WorHO
Oromia,East Borena ZHD,Wachile WorHO
Oromia,East Borena ZHD,West Welabu WorHO
Oromia,East Hararge ZHD,Babile Town WorHO
Oromia,East Hararge ZHD,Babile WorHO
Oromia,East Hararge ZHD,Bedeno WorHO
Oromia,East Hararge ZHD,Chinaksen WorHO
Oromia,East Hararge ZHD,Deder Town WorHO
Oromia,East Hararge ZHD,Deder WorHO
Oromia,East Hararge ZHD,Fedis WorHO
Oromia,East Hararge ZHD,Girawa WorHO
Oromia,East Hararge ZHD,Gola Oda WorHO
Oromia,East Hararge ZHD,Goro Gutu WorHO
Oromia,East Hararge ZHD,Goro Muti WorHO
Oromia,East Hararge ZHD,Gursum WorHO
Oromia,East Hararge ZHD,Haromaya WorHO
Oromia,East Hararge ZHD,Jarso WorHO
Oromia,East Hararge ZHD,Kersa WorHO
Oromia,East Hararge ZHD,Kombolcha WorHO
Oromia,East Hararge ZHD,Kumbi WorHO
Oromia,East Hararge ZHD,Kurfa Chale WorHO
Oromia,East Hararge ZHD,Mekanisa Oromo WorHO
Oromia,East Hararge ZHD,Melkabello WorHO
Oromia,East Hararge ZHD,Meta WorHO
Oromia,East Hararge ZHD,Meye Muluke WorHO
Oromia,East Hararge ZHD,Midaga Tola WorHO
Oromia,East Shewa ZHD,Adaa WorHO
Oromia,East Shewa ZHD,Adama WorHO
Oromia,East Shewa ZHD,Adami Tulu Jido Kombolcha WorHO
Oromia,East Shewa ZHD,Akaki WorHO
Oromia,East Shewa ZHD,Bora WorHO
Oromia,East Shewa ZHD,Boset WorHO
Oromia,East Shewa ZHD,Dugda WorHO
Oromia,East Shewa ZHD,Fentale WorHO
Oromia,East Shewa ZHD,Gimbichu WorHO
Oromia,East Shewa ZHD,Liben WorHO
Oromia,East Shewa ZHD,Lume WorHO
Oromia,East Shewa ZHD,Meki Town WorHO
Oromia,East Shewa ZHD,Metehara Town WorHO
Oromia,East Wellega ZHD,Anger Gute Town WorHO
Oromia,East Wellega ZHD,Boneya Bushe WorHO
Oromia,East Wellega ZHD,Diga WorHO
Oromia,East Wellega ZHD,Ebantu WorHO
Oromia,East Wellega ZHD,Gida Ayana WorHO
Oromia,East Wellega ZHD,Gobu Seyo WorHO
Oromia,East Wellega ZHD,Gudeya Bila WorHO
Oromia,East Wellega ZHD,Guto Gida WorHO
Oromia,East Wellega ZHD,Haro Limu WorHO
Oromia,East Wellega ZHD,Jima Arjo WorHO
Oromia,East Wellega ZHD,Kiramu WorHO
Oromia,East Wellega ZHD,Leqa Dulecha WorHO
Oromia,East Wellega ZHD,Limu WorHO
Oromia,East Wellega ZHD,Nunu Kumba WorHO
Oromia,East Wellega ZHD,Sasiga WorHO
Oromia,East Wellega ZHD,Sibu Sire WorHO
Oromia,East Wellega ZHD,Wama Hagalo WorHO
Oromia,East Wellega ZHD,Wayu Tuqa WorHO
